Solution: A= 9.163, B=-2.623, ,c1=0.07, c2=-0.36 ,Crash=18.86 days/2017-12-09 20:17:22, m=0.82  ,w=11.22. Cost=1.40043
Solution: A= 9.174, B=-2.647, ,c1=0.07, c2=-0.34 ,Crash=16.80 days/2017-12-10 18:52:49, m=0.83  ,w=11.29. Cost=1.73152
Solution: A= 9.177, B=-2.619, ,c1=0.09, c2=-0.35 ,Crash=35.47 days/2017-12-17 10:58:48, m=0.86  ,w=11.87. Cost=1.32667
Solution: A= 9.140, B=-2.603, ,c1=0.08, c2=-0.36 ,Crash=31.96 days/2017-12-14 22:42:15, m=0.87  ,w=11.66. Cost=1.35139
Solution: A= 9.169, B=-2.621, ,c1=0.06, c2=-0.36 ,Crash=19.18 days/2017-12-10 03:57:36, m=0.82  ,w=11.28. Cost=1.43651
Solution: A= 9.267, B=-2.641, ,c1=0.06, c2=-0.34 ,Crash=42.01 days/2017-12-22 23:54:13, m=0.83  ,w=12.47. Cost=1.25968
Solution: A= 9.230, B=-2.697, ,c1=0.12, c2=-0.28 ,Crash=45.46 days/2017-12-25 10:40:41, m=0.90  ,w=12.46. Cost=1.85327
Solution: A= 9.173, B=-2.641, ,c1=0.06, c2=-0.34 ,Crash=17.56 days/2017-12-10 13:02:59, m=0.83  ,w=11.28. Cost=1.68871
Solution: A= 9.154, B=-2.614, ,c1=0.08, c2=-0.36 ,Crash=26.26 days/2017-12-13 05:59:10, m=0.85  ,w=11.52. Cost=1.38066
Solution: A= 9.168, B=-2.626, ,c1=0.07, c2=-0.36 ,Crash=17.97 days/2017-12-09 22:52:31, m=0.82  ,w=11.22. Cost=1.39764
Solution: A= 9.191, B=-2.612, ,c1=0.02, c2=-0.36 ,Crash=21.31 days/2017-12-11 07:08:02, m=0.80  ,w=11.48. Cost=1.34753
Solution: A= 9.197, B=-2.629, ,c1=0.04, c2=-0.37 ,Crash=17.32 days/2017-12-11 07:16:32, m=0.80  ,w=11.43. Cost=1.46929
Solution: A= 9.127, B=-2.619, ,c1=0.08, c2=-0.33 ,Crash=30.92 days/2017-12-15 21:49:10, m=0.90  ,w=11.75. Cost=1.71237
Solution: A= 9.257, B=-2.709, ,c1=0.14, c2=-0.25 ,Crash=39.66 days/2017-12-28 15:35:57, m=0.90  ,w=12.64. Cost=1.98669
Solution: A= 9.223, B=-2.647, ,c1=0.10, c2=-0.34 ,Crash=39.83 days/2017-12-19 19:27:52, m=0.85  ,w=12.04. Cost=1.35212
Solution: A= 9.162, B=-2.678, ,c1=0.08, c2=-0.29 ,Crash=32.83 days/2017-12-17 19:28:21, m=0.90  ,w=11.88. Cost=1.99651
Solution: A= 9.146, B=-2.633, ,c1=0.08, c2=-0.33 ,Crash=29.45 days/2017-12-16 10:21:00, m=0.89  ,w=11.78. Cost=1.74202
Solution: A= 9.191, B=-2.617, ,c1=0.07, c2=-0.36 ,Crash=36.78 days/2017-12-18 18:26:31, m=0.86  ,w=12.04. Cost=1.39060
