Date;High;Low;Close;Average;Total;Turnover;Trades
1998-07-08;810,820;810,820;810,820;;;;0
1998-07-07;806,140;806,140;806,140;;;;0
1998-07-06;799,940;799,940;799,940;;;;0
1998-07-03;797,840;797,840;797,840;;;;0
1998-07-02;790,260;790,260;790,260;;;;0
1998-07-01;787,130;787,130;787,130;;;;0
1998-06-30;776,520;776,520;776,520;;;;0
1998-06-29;777,120;777,120;777,120;;;;0
1998-06-26;773,910;773,910;773,910;;;;0
1998-06-25;771,850;771,850;771,850;;;;0
1998-06-24;755,560;755,560;755,560;;;;0
1998-06-23;751,530;751,530;751,530;;;;0
1998-06-22;734,340;734,340;734,340;;;;0
1998-06-18;744,830;744,830;744,830;;;;0
1998-06-17;760,640;760,640;760,640;;;;0
1998-06-16;743,160;743,160;743,160;;;;0
1998-06-15;750,390;750,390;750,390;;;;0
1998-06-12;770,110;770,110;770,110;;;;0
1998-06-11;779,760;779,760;779,760;;;;0
1998-06-10;790,510;790,510;790,510;;;;0
1998-06-09;800,460;800,460;800,460;;;;0
1998-06-08;793,810;793,810;793,810;;;;0
1998-06-05;783,040;783,040;783,040;;;;0
1998-06-04;757,040;757,040;757,040;;;;0
1998-06-03;759,050;759,050;759,050;;;;0
1998-06-02;761,170;761,170;761,170;;;;0
1998-05-29;765,590;765,590;765,590;;;;0
1998-05-28;764,300;764,300;764,300;;;;0
1998-05-27;767,630;767,630;767,630;;;;0
1998-05-26;786,080;786,080;786,080;;;;0
1998-05-25;786,840;786,840;786,840;;;;0
1998-05-22;775,270;775,270;775,270;;;;0
1998-05-20;767,110;767,110;767,110;;;;0
1998-05-19;762,600;762,600;762,600;;;;0
1998-05-18;752,940;752,940;752,940;;;;0
1998-05-15;761,390;761,390;761,390;;;;0
1998-05-14;755,350;755,350;755,350;;;;0
1998-05-13;759,230;759,230;759,230;;;;0
1998-05-12;764,270;764,270;764,270;;;;0
1998-05-11;771,390;771,390;771,390;;;;0
1998-05-08;760,220;760,220;760,220;;;;0
1998-05-07;759,440;759,440;759,440;;;;0
1998-05-06;762,540;762,540;762,540;;;;0
