Date,Fit1,Fit2,Fit3,Index
102.0,1183.7747136001947,1165.5202663698174,1163.0700674172397,1169.2799999999995
103.0,1192.6432429027964,1174.6053161814352,1172.0720243597261,1167.5399999999997
104.0,1202.0701811828555,1184.298037876154,1181.6930849501355,1172.5199999999995
105.0,1212.0659146818302,1194.6105371410456,1191.9457666531707,1182.9399999999996
106.0,1222.6402828598698,1205.5543822728341,1202.8420415765702,1193.9100000000005
107.0,1233.8025187785763,1217.1405391207,1214.3932701247188,1211.6700000000005
108.0,1245.5611834890185,1229.3792986512465,1226.6101268913924,1210.29
109.0,1257.9240942524007,1242.2801968758697,1239.5025185068484,1229.0799999999995
110.0,1270.8982464694443,1255.8519269353897,1253.0794932116305,1222.0499999999997
111.0,1284.4897292516914,1270.1022432020534,1267.3491419977693,1231.71
112.0,1298.7036346342156,1285.0378573354888,1282.3184912384731,1207.2100000000003
113.0,1313.5439605048894,1300.6643263181516,1297.9933868210658,1250.1500000000005
114.0,1329.0135074116279,1316.9859325976915,1314.378369905427,1265.4899999999998
115.0,1345.1137695054992,1334.0055565795565,1331.4765445528062,1281.0800000000002
116.0,1361.8448199852742,1351.7245418432042,1349.2894376075235,1317.7299999999998
117.0,1379.2051915275204,1370.1425536001198,1367.8168513677529,1316.4800000000005
118.0,1397.1917523156885,1389.2574310711352,1387.0567097509002,1321.7899999999995
119.0,1415.7995784217067,1409.0650346344569,1407.0048988439191,1347.8899999999999
120.0,1435.0218234432136,1429.5590887829433,1427.6551029284315,1421.5999999999997
121.0,1454.849586458106,1450.7310221292564,1448.9986372835913,1452.8200000000002
122.0,1475.271779523983,1472.5698059079011,1471.0242792943245,1490.0900000000004
123.0,1496.2749961213835,1495.0617926423586,1493.7180996265213,1537.67
124.0,1517.8433821142721,1518.1905568702323,1517.063295470811,1555.4499999999998
125.0,1539.9585109761872,1541.936740046035,1541.0400280989295,1578.7999999999995
126.0,1562.5992652025416,1566.2779019658533,1565.6252672165156,1596.7100000000003
127.0,1585.741725994675,1591.1883812754288,1590.792644828595,1723.3499999999997
128.0,1609.3590734557463,1616.6391678278494,1616.5123215521621,1755.3600000000004
129.0,1633.4214996767796,1642.597789842324,1642.7508685080797,1787.13
130.0,1657.8961372086667,1669.0282189750471,1669.4711680937517,1848.5699999999993
131.0,1682.7470055069455,1695.89079653891,1696.6323370712526,1724.2400000000007
132.0,1707.9349779945942,1723.1421841938723,1724.1896754941677,1804.9099999999994
133.0,1733.417772408783,1750.7353424652756,1752.0946450316442,1808.9100000000005
134.0,1759.1499670739752,1778.6195404263658,1780.2948802218273,1738.4300000000003
135.0,1785.0830456707984,1806.7403997955987,1808.7342360907567,1734.4500000000007
