Time,
2014-02-19 00:00:00 UTC,70142.0
2014-02-20 00:00:00 UTC,71144.0
2014-02-21 00:00:00 UTC,69390.0
2014-02-22 00:00:00 UTC,58673.0
2014-02-23 00:00:00 UTC,60074.0
2014-02-24 00:00:00 UTC,73796.0
2014-02-25 00:00:00 UTC,80082.0
2014-02-26 00:00:00 UTC,73176.0
2014-02-27 00:00:00 UTC,70859.0
2014-02-28 00:00:00 UTC,70290.0
2014-03-01 00:00:00 UTC,63402.0
2014-03-02 00:00:00 UTC,56635.0
2014-03-03 00:00:00 UTC,81264.0
2014-03-04 00:00:00 UTC,84600.0
2014-03-05 00:00:00 UTC,72392.0
2014-03-06 00:00:00 UTC,70527.0
2014-03-07 00:00:00 UTC,72345.0
2014-03-08 00:00:00 UTC,64590.0
2014-03-09 00:00:00 UTC,62161.0
2014-03-10 00:00:00 UTC,70884.0
2014-03-11 00:00:00 UTC,76204.0
2014-03-12 00:00:00 UTC,76339.0
2014-03-13 00:00:00 UTC,72805.0
2014-03-14 00:00:00 UTC,70615.0
2014-03-15 00:00:00 UTC,60308.0
2014-03-16 00:00:00 UTC,59332.0
2014-03-17 00:00:00 UTC,66396.0
2014-03-18 00:00:00 UTC,54142.0
2014-03-19 00:00:00 UTC,73804.0
2014-03-20 00:00:00 UTC,71002.0
2014-03-21 00:00:00 UTC,73091.0
2014-03-22 00:00:00 UTC,66673.0
2014-03-23 00:00:00 UTC,57811.0
2014-03-24 00:00:00 UTC,70983.0
2014-03-25 00:00:00 UTC,71883.0
2014-03-26 00:00:00 UTC,68315.0
2014-03-27 00:00:00 UTC,71719.0
2014-03-28 00:00:00 UTC,67079.0
2014-03-29 00:00:00 UTC,53270.0
2014-03-30 00:00:00 UTC,56853.0
2014-03-31 00:00:00 UTC,65042.0
2014-04-01 00:00:00 UTC,64136.0
2014-04-02 00:00:00 UTC,66913.0
2014-04-03 00:00:00 UTC,67024.0
2014-04-04 00:00:00 UTC,65692.0
2014-04-05 00:00:00 UTC,55795.0
2014-04-06 00:00:00 UTC,50010.0
2014-04-07 00:00:00 UTC,65810.0
2014-04-08 00:00:00 UTC,67841.0
2014-04-09 00:00:00 UTC,65153.0
2014-04-10 00:00:00 UTC,68027.0
2014-04-11 00:00:00 UTC,65732.0
2014-04-12 00:00:00 UTC,47740.0
2014-04-13 00:00:00 UTC,51168.0
2014-04-14 00:00:00 UTC,70219.0
2014-04-15 00:00:00 UTC,72809.0
2014-04-16 00:00:00 UTC,68594.0
2014-04-17 00:00:00 UTC,65190.0
2014-04-18 00:00:00 UTC,56996.0
2014-04-19 00:00:00 UTC,53515.0
2014-04-20 00:00:00 UTC,49043.0
2014-04-21 00:00:00 UTC,58110.0
2014-04-22 00:00:00 UTC,78042.0
2014-04-23 00:00:00 UTC,73954.0
2014-04-24 00:00:00 UTC,72694.0
2014-04-25 00:00:00 UTC,72650.0
2014-04-26 00:00:00 UTC,52175.0
2014-04-27 00:00:00 UTC,52629.0
2014-04-28 00:00:00 UTC,64546.0
2014-04-29 00:00:00 UTC,65057.0
2014-04-30 00:00:00 UTC,63638.0
2014-05-01 00:00:00 UTC,59658.0
2014-05-02 00:00:00 UTC,59981.0
2014-05-03 00:00:00 UTC,54157.0
2014-05-04 00:00:00 UTC,51769.0
2014-05-05 00:00:00 UTC,67763.0
2014-05-06 00:00:00 UTC,77228.0
2014-05-07 00:00:00 UTC,69825.0
2014-05-08 00:00:00 UTC,68937.0
2014-05-09 00:00:00 UTC,66293.0
2014-05-10 00:00:00 UTC,56416.0
2014-05-11 00:00:00 UTC,52590.0
2014-05-12 00:00:00 UTC,74418.0
2014-05-13 00:00:00 UTC,69357.0
2014-05-14 00:00:00 UTC,69808.0
2014-05-15 00:00:00 UTC,74893.0
2014-05-16 00:00:00 UTC,65433.0
2014-05-17 00:00:00 UTC,53511.0
2014-05-18 00:00:00 UTC,49912.0
2014-05-19 00:00:00 UTC,64094.0
2014-05-20 00:00:00 UTC,71520.0
2014-05-21 00:00:00 UTC,68905.0
2014-05-22 00:00:00 UTC,73343.0
2014-05-23 00:00:00 UTC,72810.0
2014-05-24 00:00:00 UTC,52872.0
2014-05-25 00:00:00 UTC,57566.0
2014-05-26 00:00:00 UTC,67007.0
2014-05-27 00:00:00 UTC,68524.0
2014-05-28 00:00:00 UTC,72338.0
2014-05-29 00:00:00 UTC,65362.0
2014-05-30 00:00:00 UTC,65127.0
2014-05-31 00:00:00 UTC,52172.0
2014-06-01 00:00:00 UTC,55222.0
2014-06-02 00:00:00 UTC,64434.0
2014-06-03 00:00:00 UTC,69695.0
2014-06-04 00:00:00 UTC,65054.0
2014-06-05 00:00:00 UTC,66945.0
2014-06-06 00:00:00 UTC,62342.0
