"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2007","3,071.22","3,080.60","3,099.82","3,059.38","12.61B","0.45%"
"Mar 23, 2007","3,074.29","3,071.81","3,085.32","3,008.15","11.87B","0.10%"
"Mar 26, 2007","3,122.81","3,083.94","3,123.18","3,069.47","12.27B","1.58%"
"Mar 27, 2007","3,138.83","3,126.03","3,145.04","3,103.78","12.46B","0.51%"
"Mar 28, 2007","3,173.02","3,140.68","3,180.33","3,052.08","16.73B","1.09%"
"Mar 29, 2007","3,197.54","3,179.80","3,273.73","3,176.53","14.95B","0.77%"
"Mar 30, 2007","3,183.98","3,178.50","3,212.39","3,157.03","8.94B","-0.42%"
"Apr 02, 2007","3,252.59","3,196.59","3,253.43","3,196.59","9.74B","2.15%"
"Apr 03, 2007","3,291.30","3,265.68","3,292.58","3,251.52","10.86B","1.19%"
"Apr 04, 2007","3,291.54","3,295.98","3,308.15","3,266.56","11.26B","0.01%"
"Apr 05, 2007","3,319.14","3,286.16","3,326.92","3,259.63","11.45B","0.84%"
"Apr 06, 2007","3,323.59","3,287.68","3,334.22","3,273.86","11.96B","0.13%"
"Apr 09, 2007","3,398.95","3,333.42","3,399.51","3,333.26","13.73B","2.27%"
"Apr 10, 2007","3,444.29","3,405.23","3,444.37","3,351.11","14.78B","1.33%"
"Apr 11, 2007","3,495.22","3,454.42","3,497.52","3,428.78","14.76B","1.48%"
"Apr 12, 2007","3,531.03","3,503.23","3,532.86","3,488.08","13.54B","1.02%"
"Apr 13, 2007","3,518.27","3,537.22","3,563.86","3,504.16","15.07B","-0.36%"
"Apr 16, 2007","3,596.44","3,523.22","3,597.22","3,523.22","13.10B","2.22%"
"Apr 17, 2007","3,611.87","3,611.63","3,622.89","3,510.50","16.07B","0.43%"
"Apr 18, 2007","3,612.40","3,614.68","3,623.87","3,564.23","15.05B","0.01%"
"Apr 19, 2007","3,449.02","3,610.02","3,617.44","3,358.93","17.27B","-4.52%"
"Apr 20, 2007","3,584.20","3,460.90","3,591.46","3,460.90","13.89B","3.92%"
"Apr 23, 2007","3,710.89","3,615.79","3,710.89","3,615.79","16.35B","3.53%"
"Apr 24, 2007","3,720.53","3,736.15","3,762.39","3,689.13","17.44B","0.26%"
"Apr 25, 2007","3,743.96","3,708.57","3,769.25","3,653.99","15.18B","0.63%"
"Apr 26, 2007","3,783.06","3,766.48","3,784.68","3,732.60","11.73B","1.04%"
"Apr 27, 2007","3,759.87","3,788.75","3,802.92","3,720.60","13.22B","-0.61%"
"Apr 30, 2007","3,841.27","3,784.27","3,851.35","3,759.48","14.65B","2.16%"
"May 08, 2007","3,950.01","3,937.94","3,964.71","3,901.33","16.06B","2.83%"
"May 09, 2007","4,013.09","3,961.10","4,015.22","3,875.38","20.84B","1.60%"
"May 10, 2007","4,049.70","4,021.42","4,072.14","3,991.48","17.11B","0.91%"
"May 11, 2007","4,021.68","4,024.42","4,039.67","3,949.37","14.06B","-0.69%"
"May 14, 2007","4,046.39","3,970.66","4,081.43","3,940.36","13.93B","0.61%"
"May 15, 2007","3,899.18","4,055.83","4,069.85","3,891.36","15.67B","-3.64%"
"May 16, 2007","3,986.04","3,890.81","3,987.41","3,845.23","13.17B","2.23%"
"May 17, 2007","4,048.29","4,002.49","4,064.28","3,982.99","13.93B","1.56%"
"May 18, 2007","4,030.26","4,041.39","4,052.10","3,999.16","13.08B","-0.45%"
"May 21, 2007","4,072.22","3,902.35","4,083.42","3,892.97","15.62B","1.04%"
"May 22, 2007","4,110.38","4,091.14","4,136.63","4,086.82","17.36B","0.94%"
"May 23, 2007","4,173.71","4,125.43","4,175.44","4,093.91","16.14B","1.54%"
