Time,
2014-01-10 00:00:00 UTC,10745165140.6215
2014-01-11 00:00:00 UTC,11078018339.2502
2014-01-12 00:00:00 UTC,11772016991.8026
2014-01-13 00:00:00 UTC,10850210322.4271
2014-01-14 00:00:00 UTC,10684516657.8148
2014-01-15 00:00:00 UTC,10650780233.1809
2014-01-16 00:00:00 UTC,11011293004.4633
2014-01-17 00:00:00 UTC,10596586643.8577
2014-01-18 00:00:00 UTC,10505979483.5807
2014-01-19 00:00:00 UTC,10616684257.0527
2014-01-20 00:00:00 UTC,10980137374.8035
2014-01-21 00:00:00 UTC,11038765047.3699
2014-01-22 00:00:00 UTC,11018761013.8195
2014-01-23 00:00:00 UTC,10863055905.9425
2014-01-24 00:00:00 UTC,10736136641.2279
2014-01-25 00:00:00 UTC,10368842740.5383
2014-01-26 00:00:00 UTC,10854528489.6877
2014-01-27 00:00:00 UTC,11257672474.505
2014-01-28 00:00:00 UTC,10362819515.4203
2014-01-29 00:00:00 UTC,10611851282.0276
2014-01-30 00:00:00 UTC,10612297136.6219
2014-01-31 00:00:00 UTC,10682133368.7036
2014-02-01 00:00:00 UTC,10626869426.4729
2014-02-02 00:00:00 UTC,10614024741.7607
2014-02-03 00:00:00 UTC,10713293403.4249
2014-02-04 00:00:00 UTC,10538002147.7002
2014-02-05 00:00:00 UTC,10502290933.0992
2014-02-06 00:00:00 UTC,10138530155.0144
2014-02-07 00:00:00 UTC,9719101894.46994
2014-02-08 00:00:00 UTC,8580275958.32864
2014-02-09 00:00:00 UTC,8246277259.32986
2014-02-10 00:00:00 UTC,8463144784.56377
2014-02-11 00:00:00 UTC,8087847873.36257
2014-02-12 00:00:00 UTC,8040104571.45667
2014-02-13 00:00:00 UTC,7706048597.88345
2014-02-14 00:00:00 UTC,6905370524.90792
2014-02-15 00:00:00 UTC,7288715684.54022
2014-02-16 00:00:00 UTC,6865866165.98972
2014-02-17 00:00:00 UTC,6004180882.07291
2014-02-18 00:00:00 UTC,6087963594.74661
2014-02-19 00:00:00 UTC,6025811162.32402
2014-02-20 00:00:00 UTC,5776915506.42334
2014-02-21 00:00:00 UTC,4224805619.77319
2014-02-22 00:00:00 UTC,4539366002.51037
2014-02-23 00:00:00 UTC,5594843650.77274
2014-02-24 00:00:00 UTC,5799331849.59783
2014-02-25 00:00:00 UTC,4164461069.47975
2014-02-26 00:00:00 UTC,6683611108.00644
2014-02-27 00:00:00 UTC,7388067402.15643
2014-02-28 00:00:00 UTC,7295718982.23467
2014-03-01 00:00:00 UTC,6782187160.67997
2014-03-02 00:00:00 UTC,7076304432.76632
2014-03-03 00:00:00 UTC,7095355086.9205
2014-03-04 00:00:00 UTC,8457849734.67231
2014-03-05 00:00:00 UTC,8442247220.92845
2014-03-06 00:00:00 UTC,8375773656.02049
2014-03-07 00:00:00 UTC,8330770578.2019
2014-03-08 00:00:00 UTC,7868234697.97468
2014-03-09 00:00:00 UTC,7696556051.24677
2014-03-10 00:00:00 UTC,7980738361.14194
2014-03-11 00:00:00 UTC,7867704519.6347
2014-03-12 00:00:00 UTC,7923109702.04903
2014-03-13 00:00:00 UTC,7942837901.98582
2014-03-14 00:00:00 UTC,8030441304.24967
2014-03-15 00:00:00 UTC,7883289279.68632
2014-03-16 00:00:00 UTC,7959084870.76357
2014-03-17 00:00:00 UTC,7927925311.27638
2014-03-18 00:00:00 UTC,7794460596.62299
2014-03-19 00:00:00 UTC,7730368020.70163
2014-03-20 00:00:00 UTC,7623914820.119
2014-03-21 00:00:00 UTC,7370356118.66434
2014-03-22 00:00:00 UTC,7132439115.27936
2014-03-23 00:00:00 UTC,7056049257.04579
2014-03-24 00:00:00 UTC,6999434638.96119
2014-03-25 00:00:00 UTC,7295974025.07701
2014-03-26 00:00:00 UTC,7237804581.43644
2014-03-27 00:00:00 UTC,7260369787.14822
2014-03-28 00:00:00 UTC,6029730632.79764
2014-03-29 00:00:00 UTC,6345555426.48724
2014-03-30 00:00:00 UTC,6122297418.30343
2014-03-31 00:00:00 UTC,5841913968.22016
2014-04-01 00:00:00 UTC,5745923607.09499
2014-04-02 00:00:00 UTC,6023406471.21735
2014-04-03 00:00:00 UTC,5413832127.58889
2014-04-04 00:00:00 UTC,5576979965.80408
2014-04-05 00:00:00 UTC,5633922168.34672
2014-04-06 00:00:00 UTC,5844722181.29269
2014-04-07 00:00:00 UTC,5807676725.49388
2014-04-08 00:00:00 UTC,5648049379.03021
2014-04-09 00:00:00 UTC,5706540722.53868
2014-04-10 00:00:00 UTC,5576475498.13406
2014-04-11 00:00:00 UTC,4481315921.76015
2014-04-12 00:00:00 UTC,5411397116.34778
2014-04-13 00:00:00 UTC,5358843184.09832
2014-04-14 00:00:00 UTC,5231296045.36138
2014-04-15 00:00:00 UTC,5817675623.45395
2014-04-16 00:00:00 UTC,6539450724.96369
2014-04-17 00:00:00 UTC,6725353899.54969
2014-04-18 00:00:00 UTC,6282495688.97172
2014-04-19 00:00:00 UTC,6066214577.63486
2014-04-20 00:00:00 UTC,6391666988.24577
2014-04-21 00:00:00 UTC,6362632701.98021
2014-04-22 00:00:00 UTC,6322997150.05407
2014-04-23 00:00:00 UTC,6238195811.53629
2014-04-24 00:00:00 UTC,6236445302.64062
2014-04-25 00:00:00 UTC,6342180431.50006
2014-04-26 00:00:00 UTC,5863046164.17929
2014-04-27 00:00:00 UTC,5840704857.95487
2014-04-28 00:00:00 UTC,5457110011.17636
2014-04-29 00:00:00 UTC,5624134793.49757
2014-04-30 00:00:00 UTC,5652490303.97668
2014-05-01 00:00:00 UTC,5725116714.51763
2014-05-02 00:00:00 UTC,5858536533.94187
2014-05-03 00:00:00 UTC,5727248915.25916
2014-05-04 00:00:00 UTC,5588691019.25385
