basinhopping  Minimizing...
New minima 0.00843842 accepted. Solution: A= 9.273, B=-2.830, Crash=21.27 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.09 ,w=13.37 ,c2=-0.24.
New minima 0.00892514 accepted. Solution: A= 9.281, B=-2.830, Crash=22.28 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.12 ,w=13.78 ,c2=-0.22.
New minima 0.01083393 accepted. Solution: A= 9.291, B=-2.816, Crash=24.28 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.17 ,w=14.72 ,c2=-0.15.
New minima 0.01016120 accepted. Solution: A= 9.299, B=-2.827, Crash=23.72 days from 2017-12-02 23:39:07, m=0.89 ,c1=-0.16 ,w=14.42 ,c2=-0.17.
New minima 0.01086969 accepted. Solution: A= 9.291, B=-2.815, Crash=24.31 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.17 ,w=14.73 ,c2=-0.15.
New minima 0.01061090 accepted. Solution: A= 9.290, B=-2.819, Crash=24.09 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.17 ,w=14.63 ,c2=-0.16.
New minima 0.00909453 accepted. Solution: A= 9.285, B=-2.831, Crash=22.53 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.13 ,w=13.88 ,c2=-0.21.
New minima 0.00875146 accepted. Solution: A= 9.279, B=-2.831, Crash=21.98 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.11 ,w=13.65 ,c2=-0.22.
New minima 0.00947973 accepted. Solution: A= 9.285, B=-2.826, Crash=23.02 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.14 ,w=14.10 ,c2=-0.19.
New minima 0.00811438 accepted. Solution: A= 9.254, B=-2.818, Crash=19.25 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.02 ,w=12.65 ,c2=-0.26.
x0: [ 3.682, -0.685, 23.987, 0.787, 0.113, 4.177, -0.158, 2017.921 ]
Solution: A= 9.254, B=-2.818, Crash=19.25 days/2017-12-22 05:45:31, m=0.90 ,c1=-0.02 ,w=12.65 ,c2=-0.26. Cost=0.00811
basinhopping  Minimizing...
New minima 0.00962058 accepted. Solution: A= 9.314, B=-2.786, Crash=14.85 days from 2017-12-02 23:39:07, m=0.80 ,c1=0.18 ,w=10.81 ,c2=-0.16.
New minima 0.00891719 accepted. Solution: A= 9.266, B=-2.783, Crash=16.36 days from 2017-12-02 23:39:07, m=0.85 ,c1=0.14 ,w=11.36 ,c2=-0.22.
New minima 0.00849085 accepted. Solution: A= 9.255, B=-2.793, Crash=17.67 days from 2017-12-02 23:39:07, m=0.88 ,c1=0.09 ,w=11.81 ,c2=-0.24.
New minima 0.00849061 accepted. Solution: A= 9.230, B=-2.782, Crash=17.70 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.08 ,w=11.83 ,c2=-0.25.
New minima 0.00899741 accepted. Solution: A= 9.303, B=-2.800, Crash=16.21 days from 2017-12-02 23:39:07, m=0.82 ,c1=0.14 ,w=11.30 ,c2=-0.20.
New minima 0.00841707 accepted. Solution: A= 9.248, B=-2.793, Crash=17.95 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.08 ,w=11.91 ,c2=-0.25.
New minima 0.00828625 accepted. Solution: A= 9.297, B=-2.827, Crash=18.79 days from 2017-12-02 23:39:07, m=0.86 ,c1=0.05 ,w=12.18 ,c2=-0.25.
New minima 0.00826687 accepted. Solution: A= 9.244, B=-2.798, Crash=18.63 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.05 ,w=12.15 ,c2=-0.26.
New minima 0.00831731 accepted. Solution: A= 9.246, B=-2.797, Crash=18.38 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.06 ,w=12.06 ,c2=-0.26.
New minima 0.00809729 accepted. Solution: A= 9.263, B=-2.820, Crash=20.41 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.02 ,w=12.75 ,c2=-0.26.
New minima 0.00810127 accepted. Solution: A= 9.266, B=-2.822, Crash=20.58 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.02 ,w=12.81 ,c2=-0.26.
New minima 0.00833972 accepted. Solution: A= 9.281, B=-2.832, Crash=22.15 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.08 ,w=13.36 ,c2=-0.24.
New minima 0.00841717 accepted. Solution: A= 9.311, B=-2.849, Crash=22.29 days from 2017-12-02 23:39:07, m=0.88 ,c1=-0.08 ,w=13.39 ,c2=-0.24.
New minima 0.00961255 accepted. Solution: A= 9.297, B=-2.830, Crash=24.39 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.14 ,w=14.27 ,c2=-0.19.
New minima 0.00936832 accepted. Solution: A= 9.296, B=-2.832, Crash=24.11 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.13 ,w=14.15 ,c2=-0.20.
New minima 0.00864721 accepted. Solution: A= 9.291, B=-2.836, Crash=22.97 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.10 ,w=13.67 ,c2=-0.23.
New minima 0.00820857 accepted. Solution: A= 9.276, B=-2.830, Crash=21.59 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.06 ,w=13.16 ,c2=-0.25.
New minima 0.00857472 accepted. Solution: A= 9.287, B=-2.834, Crash=22.81 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.10 ,w=13.61 ,c2=-0.23.
New minima 0.00812858 accepted. Solution: A= 9.287, B=-2.833, Crash=20.68 days from 2017-12-02 23:39:07, m=0.88 ,c1=-0.02 ,w=12.83 ,c2=-0.26.
New minima 0.00811529 accepted. Solution: A= 9.268, B=-2.824, Crash=20.86 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.03 ,w=12.90 ,c2=-0.26.
x0: [ 7.421, -2.100, 14.511, 0.686, 0.470, 4.534, 0.122, 2017.921 ]
Solution: A= 9.263, B=-2.820, Crash=20.41 days/2017-12-23 09:31:42, m=0.90 ,c1=-0.02 ,w=12.75 ,c2=-0.26. Cost=0.00810
basinhopping  Minimizing...
New minima 0.01096833 accepted. Solution: A= 9.313, B=-2.825, Crash=26.76 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.16 ,w=14.98 ,c2=-0.15.
New minima 0.01248460 accepted. Solution: A= 9.340, B=-2.826, Crash=27.75 days from 2017-12-02 23:39:07, m=0.88 ,c1=-0.17 ,w=15.55 ,c2=-0.11.
