basinhopping  Minimizing...
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09252507 accepted. Solution: A= 18.264, B=-11.374, Crash=30.00 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09216785 accepted. Solution: A= 18.615, B=-11.722, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.84 ,c2=-0.34.
x0: [ 2.179, -0.894, 27.239, 0.142, 0.886, 22.253, 0.796, 2017.921 ]
Solution: A= 18.814, B=-11.921, Crash=30.00 days/2018-01-01 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34. Cost=0.09197
